Epoch,Time (milliseconds)
1,0.230207
51,0.133134
101,0.1584509999999999
151,0.165589
201,0.195216
251,0.234616
301,0.226803
351,0.226378
401,0.2537169999999999
451,0.195941
501,0.19963
551,0.162076
601,0.271319
651,0.1349749999999999
701,0.13012
751,0.133001
801,0.127158
851,0.15899
901,0.126546
951,0.126579
1001,0.13151
1051,0.129964
1101,0.1294439999999999
1151,0.13115
1201,0.134341
1251,0.152755
1301,0.142954
1351,0.150003
1401,0.159749
1451,0.172865
1501,0.181048
1551,0.187682
1601,0.188402
1651,0.179848
1701,0.181351
1751,0.1803809999999999
1801,0.179038
1851,0.172386
1901,0.15994
1951,0.143283
